#{"t_start": 1765103878.5586216, "env_id": "None"}
r,l,t
-58.63425,200,135.213632
-58.982376,200,135.226922
-59.3562,200,135.230908
-59.770126,200,135.249466
-59.630882,200,135.26723
-62.31623,200,135.320467
-62.676502,200,136.677145
-61.050053,200,136.683478
-59.86863,200,136.683558
-62.785442,200,136.696481
-59.260654,200,136.699954
-62.49712,200,136.717488
-58.907864,200,136.734083
-59.683697,200,136.785483
-58.639027,200,137.649543
-61.018467,200,137.655892
-58.308407,200,137.655989
-61.477375,200,137.669826
-58.498764,200,137.67381
-63.05774,200,137.691702
-59.56975,200,137.707236
-59.576725,200,137.759408
-59.394905,200,138.950266
-58.175682,200,138.957625
-60.091167,200,138.957732
-57.7818,200,138.971704
-60.50925,200,138.975032
-58.92183,200,138.991074
-60.98769,200,139.008071
-60.189007,200,139.05759
-57.998856,200,139.926768
-59.300575,200,139.938
-60.26864,200,139.938081
-63.323425,200,139.951454
-61.91655,200,139.954893
-2.3956254,6,139.95841
-62.422993,200,139.970484
-59.154125,200,139.986027
-60.296314,200,140.334683
-57.277363,200,141.21837
-60.963963,200,141.225638
-57.50592,200,141.239767
-61.719936,200,141.243758
-59.54456,200,141.247937
-57.740093,200,141.261905
-58.155445,200,141.279536
-57.816734,200,141.331017
-60.657913,200,142.209163
-61.339333,200,142.215791
-59.25125,200,142.229924
-58.676537,200,142.513816
-57.81781,200,142.517989
-58.5316,200,142.53168
-3.7979136,7,142.540923
-7.5481987,9,142.544225
-59.099506,200,142.547819
-59.336353,200,142.600102
-63.16019,200,143.454364
-59.314766,200,143.461665
-57.886948,200,143.473709
-59.018726,200,143.495467
-62.152348,200,143.50524
-59.108593,200,143.508883
-61.6231,200,143.512378
-58.984043,200,143.560301
-59.27586,200,144.722765
-58.818947,200,144.729214
-61.29057,200,144.741424
-56.925323,200,144.759759
-60.94496,200,144.769243
-58.91908,200,144.772793
-58.234276,200,144.776319
-57.976635,200,144.824622
-61.018196,200,145.669153
-58.184654,200,145.676543
-60.056755,200,145.689505
-60.16469,200,145.707913
-57.15719,200,145.717086
-59.599476,200,145.720423
-57.877083,200,145.723866
-58.430008,200,145.774058
-59.15035,200,146.921878
-60.235973,200,146.92974
-58.04011,200,146.945278
-58.88969,200,146.964969
-58.004578,200,146.976154
-60.41531,200,146.980178
-58.82625,200,146.984096
-62.07119,200,147.031857
-59.355545,200,147.898287
-58.22691,200,147.905684
-64.41964,200,147.920559
-56.82123,200,147.941733
-57.164825,200,147.951713
